fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.5,0.37,0.52,2.0,0.088,12.0,51.0,0.99613,3.29,0.58,11.1,6
6.4,0.57,0.12,2.3,0.12,25.0,36.0,0.99519,,0.71,,7
8.0,0.59,0.05,2.0,0.089,12.0,32.0,0.99735,3.36,0.61,10.0,5
8.5,0.47,0.27,1.9,0.058,18.0,38.0,0.99518,3.16,0.85,11.1,6
7.1,-,0.14,,0.078,7.0,18.0,0.99592,3.27,0.62,,5
6.6,0.57,0.02,,0.115,6.0,16.0,0.99654,,0.69,,5
8.8,0.27,0.39,2.0,0.1,20.0,27.0,0.99546,3.15,0.69,11.2,6
8.5,0.47,0.27,,0.058,18.0,38.0,0.99518,,0.85,11.1,6
null,0.34,-,2.4,0.065,24.0,48.0,0.99554,,0.86,11.0,6
9.0,0.38,0.41,2.4,0.103,6.0,10.0,0.99604,,0.58,11.9,7
8.5,0.66,0.2,,0.097,23.0,113.0,0.99733,,0.48,,5
9.0,0.4,0.43,2.4,0.068,29.0,46.0,0.9943,,0.6,12.2,6
6.7,0.56,0.09,2.9,0.079,7.0,22.0,0.99669,,0.61,10.2,5
,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,3.33,0.87,10.9,6
10.4,0.26,0.48,1.9,0.066,6.0,10.0,0.99724,,0.87,10.9,6
10.1,0.38,0.5,2.4,0.104,6.0,13.0,0.99643,3.22,0.65,11.6,7
,0.34,0.44,1.7,0.079,6.0,12.0,0.99605,3.52,0.63,10.7,5
8.8,0.33,0.41,5.9,0.073,7.0,13.0,0.99658,3.3,0.62,12.1,7
7.2,0.41,0.3,2.1,0.083,35.0,72.0,0.997,3.44,0.52,,5
7.2,0.41,0.3,,0.083,35.0,72.0,0.997,3.44,0.52,9.4,5
8.4,0.59,0.29,2.6,0.109,31.0,119.0,0.99801,,0.5,,5
7.0,0.4,0.32,3.6,0.061,9.0,29.0,0.99416,3.28,0.49,11.3,7
12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,,5
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,,6
,0.86,0.26,1.9,0.079,13.0,28.0,0.99712,3.25,0.62,10.0,5
,0.52,0.32,2.1,0.07,51.0,70.0,0.99418,3.34,0.82,12.9,6
9.1,0.5,0.3,1.9,0.065,8.0,17.0,0.99774,3.32,0.71,10.5,6
12.2,0.45,0.49,1.4,0.075,3.0,6.0,0.9969,3.13,0.63,17.185447110327203,5
7.4,0.58,0.0,2.0,0.064,7.0,11.0,0.99562,,0.58,11.3,6
9.8,0.34,0.39,,0.066,3.0,7.0,0.9947,3.19,0.55,11.4,7
7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.99693,,0.5,,5
,0.39,0.12,1.7,0.097,19.0,27.0,0.99596,5.801532262891213,0.49,9.4,5
,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51,10.9,6
7.7,0.39,0.12,1.7,0.097,19.0,27.0,0.99596,3.16,0.49,,5
7.1,0.34,0.28,2.0,0.082,31.0,68.0,0.99694,,0.48,,5
6.5,0.4,0.1,2.0,0.076,30.0,47.0,0.99554,,0.48,,6
,0.34,0.28,2.0,0.082,31.0,68.0,0.99694,3.45,0.48,9.4,5
0.35,10.0,0.45,2.5,0.092,20.0,88.0,0.99918,3.15,0.43,,5
,0.6,0.06,2.0,0.079,19.0,41.0,0.99697,3.39,0.62,-6.362885920737204,6
5.6,0.66,0.0,2.2,0.087,3.0,11.0,0.99378,3.71,0.63,12.8,7
5.6,0.66,0.0,0.022000000000000002,0.087,3.0,11.0,0.99378,,0.63,12.8,7
,0.84,0.34,1.4,0.05,4.0,10.0,0.99554,3.12,0.48,,6
6.4,0.69,0.0,1.65,0.055,7.0,12.0,0.99162,,0.53,,6
,0.43,0.3,2.2,0.062,6.0,12.0,0.99495,3.44,0.72,,7
9.9,0.35,0.38,1.5,0.058,31.0,47.0,0.99676,3.26,0.82,10.6,7
,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,,0.84,11.7,7
6.8,0.36,32.0,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,12.8,7
,0.43,unknown,16.0,0.081,27.0,45.0,0.99603,3.25,0.54,,5
,0.36,0.32,1.8,0.067,4.0,8.0,0.9928,3.36,0.55,,7
9.1,0.29,0.33,2.05,0.063,13.0,27.0,0.99516,3.26,0.84,11.7,7
,0.3,0.34,2.0,0.064,12.0,25.0,0.99516,3.26,0.84,,7
,0.35,0.4,3.6,0.11,12.0,24.0,0.99549,3.23,0.7,12.0,7
9.6,0.5,0.36,2.8,0.116,26.0,55.0,0.99722,,0.68,10.9,5
8.9,0.28,0.45,1.7,0.067,7.0,12.0,0.99354,3.25,0.55,12.3,7
8.9,0.32,0.31,2.0,0.088,12.0,19.0,0.9957,3.17,0.55,10.4,6
7.7,1.005,15.0,2.1,0.102,11.0,32.0,0.99604,3.23,0.48,,5
7.5,##,0.0,1.6,0.092,22.0,31.0,0.99635,,0.58,,6
8.0,0.58,0.16,2.0,0.12,3.0,7.0,0.99454,3.22,0.58,11.2,6
10.5,0.39,0.46,2.2,0.075,14.0,27.0,0.99598,3.06,0.84,11.4,6
8.9,0.38,0.4,,0.068,12.0,28.0,0.99486,3.27,0.75,12.6,7
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,2.89,0.44,12.7,6
8.0,0.18,0.37,0.9,0.049,36.0,109.0,0.99007,,0.44,,6
7.0,0.5,null,,0.078,10.0,23.0,0.99636,3.53,0.61,10.4,5
11.3,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6
,0.36,0.66,2.4,0.123,3.0,8.0,0.99642,3.2,0.53,11.9,6
7.0,0.51,0.09,2.1,0.062,4.0,9.0,0.99584,,0.54,10.5,5
,0.32,0.42,2.3,0.098,3.0,9.0,0.99506,3.27,0.55,12.3,6
7.7,0.58,0.01,,0.088,12.0,18.0,0.99568,3.32,0.56,10.5,7
8.6,0.83,0.0,2.8,0.095,17.0,43.0,0.99822,3.33,0.6,10.4,6
7.9,0.31,0.32,,0.066,14.0,36.0,0.99364,3.41,0.56,12.6,6
null,NA,0.0,2.2,0.065,28.0,52.0,0.99378,,0.52,11.6,5
,0.34,0.21,250.0,0.075,41.0,68.0,0.99586,3.37,0.54,10.1,6
,0.58,0.01,1.8,0.088,12.0,18.0,0.99568,,0.56,10.5,7
7.1,0.59,0.0,,0.091,9.0,14.0,0.99488,,0.55,11.5,7
7.3,0.55,0.01,1.8,0.093,9.0,15.0,0.99514,,0.58,11.0,7
0.82,8.1,0.0,,0.095,5.0,14.0,0.99854,3.36,0.53,,5
7.5,0.57,0.08,2.6,0.089,14.0,27.0,0.99592,3.3,0.59,,6
,0.745,0.18,2.5,0.077,15.0,48.0,0.99739,,0.47,,6
10.1,0.37,null,2.4,0.085,5.0,17.0,0.99683,3.17,0.65,,7
7.6,0.31,0.34,,0.082,26.0,35.0,0.99356,3.22,0.59,12.5,7
##,-,10.0,,0.074,20.0,56.0,0.99672,3.35,0.56,9.2,5
8.7,0.41,unknown,6.2,0.078,25.0,42.0,0.9953,,0.77,12.6,7
8.9,0.5,0.0021,2.2,0.088,21.0,39.0,0.99692,3.33,0.83,11.1,6
,0.965,0.0,2.2,0.088,16.0,32.0,0.99756,3.58,0.67,10.2,5
,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,,0.64,,6
8.9,0.5,0.21,2.2,0.088,21.0,39.0,0.99692,,0.83,11.1,6
9.5,0.39,0.41,,0.069,18.0,39.0,0.99859,3.29,0.81,10.9,7
6.4,0.39,33.0,3.3,0.046,12.0,53.0,0.99294,3.36,0.62,12.2,6
6.9,0.44,0.0,,0.07,32.0,38.0,0.99438,3.32,0.58,11.4,6
,0.78,0.0,,0.076,33.0,45.0,0.99612,3.31,0.62,10.7,6
7.1,0.43,0.17,1.8,0.082,27.0,51.0,0.99634,,0.64,,5
9.3,0.49,0.36,1.7,0.081,3.0,14.0,0.99702,3.27,0.78,,6
,0.5,0.36,,0.084,6.0,17.0,0.99704,3.27,0.77,10.8,6
,0.43,0.17,1.8,0.082,27.0,51.0,0.99634,3.49,0.64,10.4,5
8.5,null,0.59,1.4,0.414,16.0,45.0,0.99702,,1.34,9.2,5
N/A,0.605,0.05,2.4,0.073,19.0,25.0,0.99258,,0.55,,5
,0.33,0.42,2.3,0.07,9.0,20.0,0.99426,3.38,0.77,,7
8.2,0.64,0.027000000000000003,,0.095,5.0,77.0,0.99747,3.13,0.62,,6
,0.64,0.27,2.0,0.095,5.0,77.0,0.99747,3.13,0.62,9.1,6
8.9,0.48,0.053000000000000005,4.0,0.101,3.0,10.0,0.99586,,0.59,12.1,7
,0.42,0.0025,3.9,0.104,28.0,90.0,0.99784,,0.57,9.1,5
9.9,0.53,0.57,2.4,0.093,30.0,52.0,0.9971,3.19,0.76,11.6,7
8.9,0.48,0.53,,0.101,3.0,10.0,0.99586,3.21,0.59,,7
,0.23,0.57,1.8,0.074,3.0,8.0,0.9981,,0.7,9.9,6
9.1,0.4,0.5,,0.071,7.0,16.0,0.99462,0.6558510583446182,0.69,12.5,8
8.0,0.38,##,1.9,0.098,6.0,15.0,0.9956,,0.64,11.4,6
10.2,0.29,0.65,2.4,0.075,6.0,17.0,0.99565,,0.63,11.8,6
,0.74,0.09,,0.067,5.0,10.0,0.99418,3.28,0.57,11.8,6
,0.61,0.18,2.4,0.083,6.0,20.0,0.9963,3.29,0.6,10.2,6
6.6,0.52,0.08,,0.07,13.0,26.0,0.99358,3.4,0.72,12.5,7
11.1,0.31,0.53,2.2,0.06,3.0,10.0,0.99572,,0.83,10.9,7
11.1,0.31,0.53,,0.06,3.0,10.0,0.99572,3.02,0.83,10.9,7
,0.62,0.35,,0.086,28.0,52.0,0.997,4.243678746186727,0.62,10.8,5
,0.33,0.45,1.5,0.057,19.0,37.0,0.99498,3.18,0.89,,7
7.5,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,3.2,0.58,9.2,5
,0.35,0.26,1.8,0.083,33.0,75.0,0.9968,,0.58,9.5,6
8.0,0.62,0.33,,0.088,16.0,37.0,0.9972,,0.58,10.7,6
,0.77,0.2,8.1,0.098,30.0,92.0,0.99892,,0.58,9.2,5
9.1,null,0.34,2.0,0.071,45.0,67.0,0.99769,3.44,0.86,,7
9.9,0.32,0.56,2.0,0.073,3.0,8.0,0.99534,3.15,0.73,11.4,6
8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,,0.58,11.0,5
null,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,,0.58,11.0,5
,0.3,0.68,,0.05,37.5,278.0,0.99316,3.01,0.51,,7
10.3,0.27,0.56,1.4,0.047,3.0,8.0,0.99471,3.16,0.51,11.8,6
7.9,0.3,0.68,8.3,0.05,37.5,289.0,0.99316,,0.51,12.3,7
7.2,0.38,0.3,1.8,0.073,31.0,70.0,0.99685,,0.59,9.5,6
8.7,0.42,0.45,,0.072,32.0,59.0,0.99617,3.33,0.77,,6
7.2,0.38,0.3,,0.073,31.0,70.0,0.99685,3.42,0.59,9.5,6
,0.48,0.08,,0.074,40.0,64.0,0.99529,,0.49,,5
???,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,7
,null,0.42,1.6,0.057,18.0,30.0,0.994,3.29,0.69,11.2,6
11.6,0.41,0.54,,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7
,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,7
10.0,0.26,0.54,0.19,0.083,42.0,74.0,0.99451,2.98,0.63,11.8,8
,0.34,0.42,20.0,0.086,8.0,19.0,0.99546,3.35,0.6,11.4,6
7.0,0.54,0.09,,0.081,10.0,16.0,0.99479,,0.59,11.5,6
9.2,0.31,0.36,2.2,0.079,11.0,31.0,0.99615,3.33,0.86,12.0,7
6.6,0.725,0.09,5.5,0.117,9.0,17.0,0.99655,,0.49,29.995939970646177,6
9.4,0.4,0.47,2.5,0.087,6.0,20.0,0.99772,3.15,0.5,10.5,5
6.6,0.725,0.09,,0.117,9.0,17.0,0.99655,,0.49,10.8,6
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5
,null,0.45,,0.216,5.0,16.0,0.99358,3.15,0.81,12.5,7
8.6,0.52,0.38,1.5,0.096,5.0,18.0,0.99666,3.2,0.52,9.4,5
8.4,n/a,0.42,2.1,0.072,23.0,36.0,0.99392,3.11,0.78,12.4,6
7.4,0.49,0.27,2.1,0.071,14.0,25.0,0.99388,,0.63,,6
6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.99402,3.45,0.54,11.2,6
0.49,,0.27,2.1,0.071,14.0,25.0,0.99388,3.35,0.63,12.0,6
8.0,0.48,0.34,2.2,0.073,16.0,25.0,0.9936,3.28,0.66,12.4,6
,0.57,0.28,2.1,0.048,13.0,49.0,0.99374,3.41,0.6,,5
8.2,N/A,0.42,1.9,0.069,9.0,17.0,0.99376,3.21,0.54,,6
9.1,0.3,0.41,2.0,0.068,10.0,24.0,0.99523,3.27,0.85,,7
,0.78,0.1,3.3,0.09,4.0,13.0,0.99855,3.36,0.49,9.5,5
null,0.47,0.43,,0.171,27.0,66.0,0.9982,,0.76,,6
,0.53,0.0,,0.07,6.0,14.0,0.99593,,0.64,10.0,6
5.4,0.42,N/A,,0.092,23.0,55.0,0.99471,,0.64,,7
7.9,0.33,0.41,1.5,0.056,6.0,35.0,0.99396,,0.71,11.0,6
8.9,0.24,0.39,1.6,0.074,3.0,10.0,0.99698,3.12,0.59,9.5,6
5.0,0.4,0.5,4.3,0.046,29.0,80.0,0.9902,3.49,0.66,13.6,6
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6
7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,,0.6,11.3,6
7.0,0.69,0.07,,0.091,15.0,21.0,0.99572,3.38,0.6,11.3,6
n/a,0.39,0.12,2.1,0.065,14.0,24.0,0.99252,,0.53,13.3,6
5.6,0.66,0.0,2.5,0.066,7.0,15.0,0.99256,3.52,0.58,12.9,5
7.9,0.54,0.34,2.5,0.076,8.0,17.0,0.99235,3.2,0.72,13.1,8
6.6,0.5,0.0,1.8,0.062,21.0,28.0,0.99352,3.44,0.55,,6
6.3,0.47,0.0,,0.055,27.0,33.0,0.9922,3.45,0.48,12.3,6
0.4,10.7,0.37,1.9,0.081,17.0,29.0,0.99674,3.12,0.65,11.2,6
6.5,0.58,0.0,2.2,0.096,3.0,13.0,0.99557,,0.62,11.5,4
,0.24,0.35,1.7,0.055,13.0,27.0,0.99394,,0.59,11.3,7
,0.29,0.26,1.7,0.063,3.0,11.0,0.9915,,0.54,,6
6.3,0.76,N/A,,0.072,26.0,52.0,0.99379,3.51,0.6,11.5,6
10.0,##,0.33,2.7,0.095,28.0,89.0,0.9984,,0.68,,5
,0.43,0.35,3.3,0.092,24.0,70.0,0.99798,,0.69,10.5,6
9.1,0.6,0.0,1.9,0.058,5.0,10.0,0.9977,,0.63,10.4,6
5.9,0.19,0.21,1.7,0.045,57.0,135.0,0.99341,3.32,0.44,9.5,5
7.4,0.36,0.34,1.8,0.075,18.0,38.0,0.9933,3.38,0.88,13.6,7
7.2,0.48,0.07,5.5,0.089,10.0,18.0,0.99684,3.37,0.68,,7
##,0.28,0.35,1.7,0.061,6.0,15.0,0.99524,3.3,0.74,11.8,7
8.0,0.25,0.43,,0.067,22.0,50.0,0.9946,3.38,0.6,11.9,6
,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,,0.76,11.4,6
,0.52,0.45,2.0,0.08,6.0,13.0,0.99774,3.22,0.76,11.4,6
,unknown,0.15,3.7,0.104,29.0,94.0,0.99786,3.14,0.58,9.1,5
8.2,0.51,0.24,2.0,0.079,16.0,86.0,0.99764,,0.64,9.5,6
,0.4,0.3,0.017,0.08,33.0,79.0,0.9969,,0.65,,6
???,0.38,0.32,,0.08,24.0,71.0,0.99624,,0.85,11.0,6
6.9,0.45,0.11,,0.043,6.0,12.0,0.99354,3.3,0.65,11.4,6
7.0,0.22,0.3,1.8,0.065,16.0,20.0,0.99672,3.61,0.82,,6
7.3,0.32,0.23,2.3,0.066,35.0,70.0,0.99588,3.43,0.62,,5
8.2,0.2,0.43,2.5,0.076,31.0,51.0,0.99672,3.53,0.81,,6
7.8,0.5,0.12,1.8,0.178,6.0,21.0,0.996,3.28,0.87,,6
10.0,0.41,0.45,6.2,0.071,6.0,14.0,0.99702,3.21,0.49,11.8,7
7.8,0.39,4.2,2.0,0.086,9.0,21.0,0.99526,3.39,0.66,11.6,6
10.0,0.35,0.47,2.0,0.061,6.0,11.0,0.99585,,0.52,,6
8.2,0.33,n/a,2.8,0.067,4.0,12.0,0.99473,3.3,0.76,12.8,7
6.1,0.58,0.23,2.5,0.044,16.0,70.0,0.99352,3.46,0.65,,6
,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,5
9.6,NA,0.35,2.1,0.083,17.0,38.0,0.99622,3.23,0.66,11.1,6
,0.58,0.0,,0.1,50.0,63.0,0.99544,3.59,0.68,11.4,6
8.3,0.6,0.25,2.2,0.118,9.0,38.0,0.99616,3.15,0.53,9.8,5
,0.18,0.51,1.75,0.071,45.0,88.0,0.99524,3.33,0.76,11.8,7
5.1,0.51,0.18,2.1,0.042,16.0,101.0,0.9924,3.46,0.87,12.9,7
,0.41,0.43,,0.076,22.0,54.0,0.99572,3.42,1.16,10.6,6
10.2,0.41,0.43,2.2,0.11,11.0,37.0,0.99728,3.16,0.67,,5
10.6,0.36,0.056999999999999995,,0.087,6.0,20.0,0.99676,3.14,0.72,,7
8.8,0.45,-,,0.076,12.0,21.0,0.99551,3.21,0.75,10.2,6
,0.32,0.42,,0.075,12.0,19.0,0.99434,3.14,0.71,11.8,7
,0.785,0.24,,0.078,10.0,21.0,0.99692,3.29,0.67,10.0,5
9.0,0.785,0.24,1.7,0.078,10.0,21.0,0.99692,3.29,0.67,,5
8.5,0.44,0.5,1.9,0.369,15.0,38.0,0.99634,3.01,1.1,9.4,5
9.9,0.54,-,0.02,0.111,7.0,60.0,0.99709,2.94,0.98,10.2,5
,n/a,0.39,2.5,0.074,29.0,48.0,0.99528,3.32,0.88,12.4,7
6.5,0.34,0.27,,0.067,8.0,44.0,0.99384,3.21,0.56,12.0,6
7.6,0.5,0.29,,0.086,5.0,14.0,0.99502,3.32,0.62,18.652423455908227,6
9.2,0.36,0.34,,0.062,5.0,12.0,0.99667,,0.67,10.5,6
7.1,0.59,##,,0.078,26.0,44.0,0.99522,3.42,0.68,,6
,0.42,0.46,2.1,0.074,5.0,16.0,0.99649,,0.74,12.3,6
,0.36,31.0,,0.079,26.0,65.0,0.99716,3.46,0.62,9.5,6
7.6,0.36,0.31,1.7,0.079,26.0,65.0,0.99716,,0.62,,6
6.5,n/a,0.0,2.2,0.095,48.0,59.0,0.99541,3.61,0.7,11.5,6
6.5,0.88,0.03,5.6,0.079,23.0,47.0,0.99572,,0.5,,4
,0.66,0.0,2.4,0.052,6.0,11.0,0.99318,,0.66,12.7,7
0.915,5.6,0.0,,0.041,17.0,78.0,0.99346,,0.73,11.4,5
8.2,0.35,0.33,2.4,0.076,11.0,47.0,0.99599,,0.81,11.0,6
8.2,0.35,0.33,,0.076,11.0,47.0,0.99599,3.27,0.81,11.0,6
9.8,0.39,0.43,1.65,0.068,5.0,11.0,0.99478,3.19,0.46,11.4,5
,0.4,0.4,2.5,0.068,41.0,54.0,0.99754,3.38,0.86,,6
,0.66,0.07,1.6,0.07,16.0,61.0,0.99572,3.29,0.6,9.3,5
,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,5
,0.43,???,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6
6.6,0.8,0.03,,0.079,6.0,12.0,0.9963,3.52,0.5,12.2,5
7.0,-,0.3,2.0,0.085,6.0,39.0,0.99346,3.33,0.46,11.9,6
6.7,0.64,0.23,2.1,0.08,11.0,119.0,0.99538,3.36,0.7,10.9,5
,0.955,0.05,1.8,0.075,5.0,19.0,0.99616,3.3,0.44,9.6,4
9.1,0.4,0.57,4.6,0.08,6.0,20.0,0.99652,3.28,0.57,12.5,6
6.5,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,,5
7.2,0.25,0.37,,0.063,11.0,41.0,0.99439,3.52,0.8,,7
6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51,,5
7.0,0.745,0.12,1.8,0.114,15.0,64.0,0.99588,,0.59,9.5,6
,0.43,##,1.8,0.078,21.0,56.0,0.99633,,0.6,,6
7.9,0.58,0.23,2.3,0.076,23.0,94.0,0.99686,3.21,0.58,9.5,6
,0.57,0.21,,0.069,4.0,9.0,0.99458,,0.54,,6
7.7,0.26,0.26,,0.052,19.0,77.0,0.9951,,0.79,10.9,6
7.9,0.58,0.23,,0.076,23.0,94.0,0.99686,3.21,0.58,,6
7.7,0.57,0.21,,0.069,4.0,9.0,0.99458,3.16,0.54,,6
7.9,0.34,0.36,,0.065,5.0,10.0,0.99419,,0.54,11.2,7
8.6,???,0.39,,0.068,6.0,12.0,0.99516,,0.69,11.7,8
9.9,0.74,0.19,5.8,0.111,33.0,76.0,0.99878,3.14,0.55,,5
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,,7
7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
,0.72,0.55,1.7,0.136,24.0,52.0,0.99752,,0.94,,5
7.2,0.36,0.46,,0.074,24.0,44.0,0.99534,3.4,0.85,11.0,7
6.2,0.39,0.43,2.0,0.071,14.0,24.0,0.99428,,0.87,18.12789621105588,7
6.8,0.65,???,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,,6
6.6,0.44,0.15,2.1,0.076,22.0,53.0,0.9957,3.32,0.62,9.3,5
6.8,0.65,0.02,2.1,0.078,8.0,15.0,0.99498,3.35,0.62,,6
???,0.38,0.42,,0.071,5.0,13.0,0.99659,3.15,0.75,10.5,6
10.2,0.33,0.46,1.9,0.081,6.0,9.0,0.99628,3.1,0.48,,6
8.8,0.27,0.46,2.1,0.095,20.0,29.0,0.99488,3.26,0.56,11.3,6
7.9,0.57,0.31,2.0,0.079,10.0,79.0,0.99677,,0.69,9.5,6
,0.34,0.37,1.9,0.057,43.0,74.0,0.99408,,0.81,21.300032019288942,6
N/A,0.4,0.31,1.9,0.082,8.0,24.0,0.996,3.24,0.69,10.6,6
9.0,0.39,0.4,1.3,0.044,25.0,50.0,0.99478,,0.83,,6
10.9,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,,0.77,11.5,6
,0.32,0.52,1.8,0.132,17.0,44.0,0.99734,6.284681212681814,0.77,,6
8.1,0.53,0.22,2.2,0.078,33.0,89.0,0.99678,3.26,0.46,,6
,0.36,0.47,2.2,0.074,9.0,23.0,0.99638,,0.76,-1.1436381536622022,6
12.6,0.39,0.49,2.5,0.08,8.0,20.0,0.9992,3.07,0.82,10.3,6
9.2,0.46,0.23,2.6,0.091,18.0,77.0,0.99922,1.7268694892350016,0.51,,5
0.58,7.5,0.03,4.1,0.08,27.0,46.0,0.99592,3.02,0.47,9.2,5
,0.58,0.25,2.0,0.104,8.0,21.0,0.99769,3.27,0.72,9.6,5
5.1,0.42,0.0,,0.044,18.0,88.0,0.99157,3.68,0.73,,7
7.6,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,9.5,5
7.7,0.18,0.34,,0.066,15.0,58.0,0.9947,3.37,0.78,11.8,6
7.8,0.815,0.01,2.6,0.074,48.0,90.0,0.99621,3.38,0.62,10.8,5
,0.43,0.29,2.1,0.075,19.0,66.0,0.99718,3.4,0.64,16.55159102734259,5
10.2,0.23,0.37,2.2,0.057,14.0,36.0,0.99614,,0.49,,4
7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,6
,0.33,0.32,12.9,0.054,6.0,113.0,0.99572,3.3,0.56,11.5,4
,0.55,0.0,,0.07,7.0,17.0,0.99659,3.26,0.64,,6
7.1,0.75,0.01,2.2,0.059,11.0,18.0,0.99242,3.39,0.4,12.8,6
8.1,0.73,0.0,2.5,0.081,12.0,24.0,0.99798,3.38,0.46,9.6,4
6.5,0.67,0.0,4.3,0.057,11.0,20.0,0.99488,3.45,0.56,,4
7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,,0.4,9.3,5
,0.37,0.39,,0.079,28.0,65.0,0.99729,3.16,0.59,,5
,0.4,0.41,2.0,0.058,15.0,40.0,0.99414,3.22,0.6,12.2,6
8.3,0.56,0.22,2.4,0.082,10.0,86.0,0.9983,3.37,0.62,,5
5.9,0.29,0.25,13.4,0.067,72.0,160.0,0.99721,3.33,0.54,10.3,6
,0.55,0.19,,0.082,15.0,34.0,0.99655,3.49,0.68,,5
7.4,0.74,0.07,,0.086,15.0,48.0,0.99502,3.12,0.48,,5
7.4,0.55,0.19,1.8,0.082,15.0,34.0,0.99655,3.49,0.68,10.5,5
6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,3.41,0.75,11.1,6
7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,5.0430605673647735,0.61,,6
7.1,0.6,0.01,2.3,0.079,24.0,37.0,0.99514,3.4,0.61,10.9,6
7.5,0.58,0.14,,0.077,27.0,60.0,0.9963,,0.59,,5
7.1,0.72,0.0,1.8,0.123,6.0,14.0,0.99627,,0.58,9.8,5
7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,,5
7.8,0.7,0.06,,0.079,20.0,35.0,0.99628,3.4,0.69,,5
6.1,0.64,0.02,2.4,0.069,26.0,46.0,0.99358,3.47,0.45,11.0,5
7.5,0.59,0.22,,0.082,43.0,60.0,0.99499,3.1,0.42,,5
7.0,0.58,0.28,,0.085,12.0,69.0,0.99633,,0.7,11.0,6
,0.64,N/A,,0.123,15.0,33.0,0.99538,3.44,0.63,11.3,6
6.8,0.64,0.0,2.7,0.123,15.0,33.0,0.99538,3.44,0.63,,6
8.6,0.635,0.68,,0.403,19.0,56.0,0.99632,,1.15,,5
???,1.02,0.0,2.0,0.083,17.0,24.0,0.99437,,0.55,11.2,4
,0.45,0.38,2.5,0.081,34.0,66.0,0.99726,3.15,0.58,,5
8.2,0.78,0.0,2.2,0.089,13.0,26.0,0.9978,,0.46,,4
8.5,0.37,0.32,1.8,0.066,26.0,51.0,0.99456,3.38,0.72,11.8,6
7.2,0.57,0.05,,0.081,16.0,36.0,0.99564,,0.6,10.3,6
7.2,0.57,0.05,2.3,0.081,16.0,36.0,0.99564,3.38,0.6,,6
10.4,0.43,0.5,2.3,0.068,13.0,19.0,0.996,3.1,0.87,11.4,6
,n/a,0.31,2.0,0.079,21.0,51.0,0.99668,3.47,0.55,9.5,6
5.5,0.49,0.03,1.8,0.044,28.0,87.0,0.9908,,0.82,14.0,8
5.0,0.38,0.01,1.6,0.048,26.0,60.0,0.99084,,0.75,14.0,6
7.3,0.44,0.2,1.6,0.049,24.0,64.0,0.9935,,0.57,,6
,0.46,0.0,1.9,0.077,25.0,44.0,0.99385,3.5,0.53,,5
7.5,0.58,0.2,,0.073,34.0,44.0,0.99494,3.1,0.43,,5
7.8,0.58,n/a,2.1,0.102,17.0,36.0,0.9944,3.24,0.53,,6
,0.715,0.22,2.3,0.075,13.0,81.0,0.99688,3.24,0.54,9.5,6
